ccbaCpno_item,ccbaKdcd_item
1111100010000,11
1111100020000,11
1113100040000,11
1113300050000,11
1113300060000,11
1113400070000,11
1113400080000,11
1113500100000,11
1113500110000,11
1113600120000,11
1113600130000,11
1113700140000,11
1113700150000,11
1113700160000,11
1113700170000,11
1113700180000,11
1113700190000,11
1113700200000,11
1113700210000,11
1113700220000,11
1113700230000,11
1113700240000,11
1113700250000,11
1113700300000,11
1113700310000,11
1113800320000,11
1113800330000,11
1113800340000,11
1113600350000,11
1113200360000,11
1113700370000,11
1113700390000,11
1113700400000,11
1113300410000,11
1113600420000,11
1113600430000,11
1113600440000,11
1113700450000,11
1113700460000,11
1113800470000,11
1113200480000,11
1113400490000,11
1113600500000,11
1113200510000,11
1113800520000,11
1113600530000,11
1113600540000,11
1113300550000,11
1113600560000,11
1113600570000,11
1113400580000,11
1113200590000,11
1113500620000,11
1113200630000,11
1113300640000,11
1113600670000,11
1113800750000,11
1113400760000,11
1113700770000,11
1113400840000,11
1111101010000,11
1113301060000,11
1113701090000,11
1113701120000,11
1113601170000,11
1113101200000,11
1113201220000,11
1113701260000,11
1113701300000,11
1113701320000,11
1113601440000,11
1112601470000,11
1111101480100,11
1111101480200,11
1111101500000,11
1111101510100,11
1112101510200,11
1111101520000,11
1111101530000,11
1113701810000,11
1113701870000,11
1113301970000,11
1113301980000,11
1113701990000,11
1113702010000,11
1113302050000,11
1113802060000,11
1113702080000,11
1111102120000,11
1113202210000,11
1111102230000,11
1111102240000,11
1111102250000,11
1111102260000,11
1111102270000,11
1113802330100,11
1113702360000,11
1113702420000,11
1113102480000,11
1113702640000,11
1111102650000,11
1113702830000,11
1112602850000,11
1113502890000,11
1113802900000,11
1111102910000,11
1113102960000,11
1113302970000,11
1113402980000,11
1113402990000,11
1113403000000,11
1113603010000,11
1111103030000,11
1113603040000,11
1113803050000,11
1111103060200,11
1113403070000,11
1113603080000,11
1113703110000,11
1113703120000,11
1113603130000,11
1113603140000,11
1113703150000,11
1113503160000,11
1113703180000,11
1111103190100,11
1113103190200,11
1111103190300,11
1113403230000,11
1113703280000,11
1113203320000,11
1121100010000,12
1121100030000,12
1123100040000,12
1123100060000,12
1123100070000,12
1123100080000,12
1123100090000,12
1122300100000,12
1123700110100,12
1123200110300,12
1123100110400,12
1121100110500,12
1123100110700,12
1123100120000,12
1123100130000,12
1123100140000,12
1123300150000,12
1123300160000,12
1123300170000,12
1123400180000,12
1123400190000,12
1123400200000,12
1123500220000,12
1123500230000,12
1123500240000,12
1123500250000,12
1123500260000,12
1123500270000,12
1123500280000,12
1123500290000,12
1123500300000,12
1123500310000,12
1123500320000,12
1123500330000,12
1123500340000,12
1123500350000,12
1123500360000,12
1123500370000,12
1123500380000,12
1123500390000,12
1123500400000,12
1123500410000,12
1123500420000,12
1123500430000,12
1123500450000,12
1123500460000,12
1123400470000,12
1123600490000,12
1123600500000,12
1123700510000,12
1123700520000,12
1123700530000,12
1123700540000,12
1123700560000,12
1123700570000,12
1123700580000,12
1123700590000,12
1123700600000,12
1123700610000,12
1123700620000,12
1123700630000,12
1123700640000,12
1123700650000,12
1123700660000,12
1123700670000,12
1123700680000,12
1123700690000,12
1123700700000,12
1123800710000,12
1123800720000,12
1123800730000,12
1123800740000,12
1123800750000,12
1123200760000,12
1123200770000,12
1123200780000,12
1123200790000,12
1123200800000,12
1123200820000,12
1123200830000,12
1123200840000,12
1123200850000,12
1123200860000,12
1123200870000,12
1123600880000,12
1123600890000,12
1123600900000,12
1123100910000,12
1123100920000,12
1123100930000,12
1123300940000,12
1123300950000,12
1123300960000,12
1123300970000,12
1123300980000,12
1123400990000,12
1123401000000,12
1123401010000,12
1123401020000,12
1123401030000,12
1123401040000,12
1123401050000,12
1123401060000,12
1123401080000,12
1122401090000,12
