ccbaCpno_item,ccbaMnm1_item
1111100010000,서울 숭례문
1111100020000,서울 원각사지 십층석탑
1113100040000,여주 고달사지 승탑
1113300050000,보은 법주사 쌍사자 석등
1113300060000,충주 탑평리 칠층석탑
1113400070000,천안 봉선홍경사 갈기비
1113400080000,보령 성주사지 대낭혜화상탑비
1113500100000,남원 실상사 백장암 삼층석탑
1113500110000,익산 미륵사지 석탑
1113600120000,구례 화엄사 각황전 앞 석등
1113600130000,강진 무위사 극락보전
1113700140000,영천 거조사 영산전
1113700150000,안동 봉정사 극락전
1113700160000,안동 법흥사지 칠층전탑
1113700170000,영주 부석사 무량수전 앞 석등
1113700180000,영주 부석사 무량수전
1113700190000,영주 부석사 조사당
1113700200000,경주 불국사 다보탑
1113700210000,경주 불국사 삼층석탑
1113700220000,경주 불국사 연화교 및 칠보교
1113700230000,경주 불국사 청운교 및 백운교
1113700240000,경주 석굴암 석굴
1113700250000,경주 태종무열왕릉비
1113700300000,경주 분황사 모전석탑
1113700310000,경주 첨성대
1113800320000,합천 해인사 대장경판
1113800330000,창녕 신라 진흥왕 척경비
1113800340000,창녕 술정리 동 삼층석탑
1113600350000,구례 화엄사 사사자 삼층석탑
1113200360000,상원사 동종
1113700370000,경주 황복사지 삼층석탑
1113700390000,경주 나원리 오층석탑
1113700400000,경주 정혜사지 십삼층석탑
1113300410000,청주 용두사지 철당간
1113600420000,순천 송광사 목조삼존불감
1113600430000,혜심 고신제서
1113600440000,장흥 보림사 남·북 삼층석탑 및 석등
1113700450000,영주 부석사 소조여래좌상
1113700460000,부석사 조사당 벽화
1113800470000,하동 쌍계사 진감선사탑비
1113200480000,평창 월정사 팔각 구층석탑
1113400490000,예산 수덕사 대웅전
1113600500000,영암 도갑사 해탈문
1113200510000,강릉 임영관 삼문
1113800520000,합천 해인사 장경판전
1113600530000,구례 연곡사 동 승탑
1113600540000,구례 연곡사 북 승탑
1113300550000,보은 법주사 팔상전
1113600560000,순천 송광사 국사전
1113600570000,화순 쌍봉사 철감선사탑
1113400580000,청양 장곡사 철조약사여래좌상 및 석조대좌
1113200590000,원주 법천사지 지광국사탑비
1113500620000,김제 금산사 미륵전
1113200630000,철원 도피안사 철조비로자나불좌상
1113300640000,보은 법주사 석련지
1113600670000,구례 화엄사 각황전
1113800750000,표충사 청동 은입사 향완
1113400760000,이순신 난중일기 및 서간첩 임진장초
1113700770000,의성 탑리리 오층석탑
1113400840000,서산 용현리 마애여래삼존상
1111101010000,원주 법천사지 지광국사탑
1113301060000,계유명전씨아미타불비상
1113701090000,군위 아미타여래삼존 석굴
1113701120000,경주 감은사지 동·서 삼층석탑
1113601170000,장흥 보림사 철조비로자나불좌상
1113101200000,용주사 동종
1113201220000,양양 진전사지 삼층석탑
1113701260000,불국사 삼층석탑 사리장엄구
1113701300000,구미 죽장리 오층석탑
1113701320000,징비록
1113601440000,영암 월출산 마애여래좌상
1112601470000,울주 천전리 각석
1111101480100,십칠사찬고금통요 권16
1111101480200,십칠사찬고금통요 권17
1111101500000,송조표전총류 권7
1111101510100,조선왕조실록 정족산사고본
1112101510200,조선왕조실록 태백산사고본
1111101520000,비변사등록
1111101530000,일성록
1113701810000,장양수 홍패
1113701870000,영양 산해리 오층모전석탑
1113301970000,충주 청룡사지 보각국사탑
1113301980000,단양 신라 적성비
1113701990000,경주 단석산 신선사 마애불상군
1113702010000,봉화 북지리 마애여래좌상
1113302050000,충주 고구려비
1113802060000,합천 해인사 고려목판
1113702080000,도리사 세존사리탑 금동 사리기
1111102120000,대불정여래밀인수증요의제보살만행수능엄경(언해)
1113202210000,평창 상원사 목조문수동자좌상
1111102230000,경복궁 근정전
1111102240000,경복궁 경회루
1111102250000,창덕궁 인정전
1111102260000,창경궁 명정전
1111102270000,종묘 정전
1113802330100,산청 석남암사지 석조비로자나불좌상
1113702360000,경주 장항리 서 오층석탑
1113702420000,울진 봉평리 신라비
1113102480000,조선방역지도
1113702640000,포항 냉수리 신라비
1111102650000,초조본 대방광불화엄경 주본 권13
1113702830000,통감속편
1112602850000,울주 대곡리 반구대 암각화
1113502890000,익산 왕궁리 오층석탑
1113802900000,양산 통도사 대웅전 및 금강계단
1111102910000,용감수경 권3~4
1113102960000,칠장사 오불회 괘불탱
1113302970000,안심사 영산회 괘불탱
1113402980000,갑사 삼신불 괘불탱
1113402990000,신원사 노사나불 괘불탱
1113403000000,장곡사 미륵불 괘불탱
1113603010000,화엄사 영산회 괘불탱
1111103030000,승정원일기
1113603040000,여수 진남관
1113803050000,통영 세병관
1111103060200,삼국유사
1113403070000,태안 동문리 마애삼존불입상
1113603080000,해남 대흥사 북미륵암 마애여래좌상
1113703110000,안동 봉정사 대웅전
1113703120000,경주 남산 칠불암 마애불상군
1113603130000,강진 무위사 극락전 아미타여래삼존벽화
1113603140000,순천 송광사 화엄경변상도
1113703150000,문경 봉암사 지증대사탑비
1113503160000,완주 화암사 극락전
1113703180000,포항 중성리 신라비
1111103190100,동의보감(2015-1)
1113103190200,동의보감(2015-2)
1111103190300,동의보감(2015-3)
1113403230000,논산 관촉사 석조미륵보살입상
1113703280000,예천 용문사 대장전과 윤장대
1113203320000,정선 정암사 수마노탑
1121100010000,서울 흥인지문
1121100030000,서울 원각사지 대원각사비
1123100040000,안양 중초사지 당간지주
1123100060000,여주 고달사지 원종대사탑비
1123100070000,여주 고달사지 원종대사탑
1123100080000,여주 고달사지 석조대좌
1123100090000,용인 서봉사지 현오국사탑비
1122300100000,강화 장정리 오층석탑
1123700110100,사인비구 제작 동종 - 포항 보경사 서운암 동종
1123200110300,사인비구 제작 동종 - 홍천 수타사 동종
1123100110400,사인비구 제작 동종 - 안성 청룡사 동종
1121100110500,사인비구 제작 동종 - 서울 화계사 동종
1123100110700,사인비구 제작 동종 - 의왕 청계사 동종
1123100120000,하남 동사지 오층석탑
1123100130000,하남 동사지 삼층석탑
1123100140000,수원 창성사지 진각국사탑비
1123300150000,보은 법주사 사천왕 석등
1123300160000,충주 억정사지 대지국사탑비
1123300170000,충주 정토사지 법경대사탑비
1123400180000,청양 서정리 구층석탑
1123400190000,보령 성주사지 오층석탑
1123400200000,보령 성주사지 중앙 삼층석탑
1123500220000,김제 금산사 노주
1123500230000,김제 금산사 석련대
1123500240000,김제 금산사 혜덕왕사탑비
1123500250000,김제 금산사 오층석탑
1123500260000,김제 금산사 금강계단
1123500270000,김제 금산사 육각 다층석탑
1123500280000,김제 금산사 당간지주
1123500290000,김제 금산사 심원암 삼층석탑
1123500300000,남원 만복사지 오층석탑
1123500310000,남원 만복사지 석조대좌
1123500320000,남원 만복사지 당간지주
1123500330000,남원 실상사 수철화상탑
