ccbaCpno_item,ccbaPcd1_item
1123706050000,01
1333402490000,01
1331102670000,01
1333102680000,01
1333102690000,01
1333303980000,01
1333904160000,01
1333404330000,01
1333104410000,01
1112602850000,03
1333403340000,03
1333803350000,03
1333103890000,03
1333904120000,03
1333204260000,03
1333604580000,03
1333804860000,03
1112601470000,05
1333800020000,05
1333501030000,05
1332301370000,05
1333101480000,05
1332603320000,05
1333203760000,05
1333503910000,05
1333604100000,05
1332204110000,05
1333804720000,05
1333404730000,05
1333905220000,05
1332101920000,07
1333802400000,07
1332403750000,07
1113403070000,10
1123700630000,10
1123701980000,10
1123314010000,10
1123319410000,10
1333400050000,10
1331100110000,10
1333400120000,10
1333700200000,10
1333700260000,10
1333400340000,10
1333400580000,10
1333400590000,10
1333400600000,10
1333700610000,10
1332200620000,10
1333800640000,10
1333800650000,10
1333800660000,10
1333800670000,10
1333400890000,10
1333400900000,10
1333500920000,10
1333800930000,10
1333800940000,10
1333800950000,10
1333501110000,10
1333801200000,10
1333601270000,10
1332301300000,10
1333401350000,10
1333101400000,10
1333401560000,10
1333701610000,10
1333101620000,10
1333802140000,10
1333102170000,10
1333702180000,10
1331102340000,10
1332202620000,10
1331102700000,10
1333703110000,10
1333303190000,10
1333103520000,10
1333603530000,10
1331103720000,10
1333604040000,10
1333104220000,10
1333404350000,10
1333104370000,10
1333204460000,10
1333204470000,10
1331104550000,10
1333604560000,10
1333104670000,10
1333104680000,10
1333104690000,10
1333704700000,10
1333704760000,10
1333705160000,10
1333705170000,10
1333705180000,10
1333105260000,10
1332605280000,10
1333105360000,10
1333105370000,10
1332105390000,10
1333505410000,10
1332205440000,10
1333505520000,10
1333705550000,10
1332305560000,10
1113302050000,11
1333304000000,11
1333104030000,11
1113500110000,12
1113400840000,12
1123500450000,12
1123407940000,12
1123509140000,12
1333400040000,12
1333400130000,12
1333400140000,12
1333400440000,12
1333500870000,12
1333400990000,12
1333501500000,12
1331102430000,12
1333102510000,12
1333502940000,12
1331102970000,12
1333403010000,12
1333503470000,12
1333103510000,12
1332503550000,12
1333403930000,12
1333504050000,12
1333504080000,12
1333404200000,12
1333104230000,12
1333404250000,12
1333404270000,12
1333404280000,12
1333404340000,12
1333404740000,12
1333404750000,12
1333604920000,12
1333504940000,12
1333605050000,12
1333305270000,12
1333505310000,12
1333505430000,12
1113700300000,13
1113700310000,13
1113800330000,13
1113301980000,13
1113701990000,13
1113702010000,13
1113702420000,13
1113702640000,13
1113703180000,13
1122603700000,13
1123204430000,13
1123804800000,13
1123605090000,13
1123705170000,13
1123805190000,13
1123205440000,13
1123706770000,13
1123719280000,13
1333700060000,13
1333700150000,13
1333700160000,13
1333700190000,13
1333700220000,13
1333700240000,13
1333700460000,13
1333700470000,13
1333700820000,13
1333800970000,13
1333800980000,13
1333801310000,13
1333701380000,13
1333801510000,13
1333701580000,13
1333701720000,13
1333701730000,13
1333701740000,13
1333701750000,13
1333701760000,13
1333701770000,13
1333701800000,13
1333701820000,13
1333701880000,13
1333702190000,13
1333702210000,13
1331102280000,13
1333302350000,13
1333702380000,13
1333702630000,13
1333302640000,13
1333302650000,13
1333603080000,13
1333503090000,13
1333703130000,13
1333704300000,13
1333304630000,13
1333105000000,13
1333805040000,13
1333805090000,13
1333800730000,14
1333800740000,14
1333800750000,14
1333700790000,14
1333700860000,14
1333801190000,14
1333701650000,14
1333802610000,14
1332102730000,14
1333803260000,14
1333803270000,14
1333703360000,14
1333804290000,14
1333804540000,14
1333505420000,14
1333805470000,14
1333805540000,14
1113300050000,20
1113300060000,20
1113400080000,20
1113500100000,20
1113600120000,20
1113700160000,20
1113700170000,20
1113700200000,20
1113700210000,20
1113700220000,20
1113700230000,20
1113700240000,20
1113700250000,20
1113800340000,20
1113600350000,20
1113200360000,20
1113700370000,20
1113700390000,20
1113700400000,20
1113600420000,20
1113600440000,20
1113800470000,20
1113600530000,20
1113600570000,20
1113400580000,20
1113200630000,20
1113300640000,20
1113700770000,20
1113301060000,20
1113701090000,20
1113701120000,20
1113601170000,20
