ccbaAsno_item,ccbaKdcd_item,ccbaCtcd_item
00010000,11,11
00020000,11,11
00030000,11,11
00040000,11,31
00050000,11,33
00060000,11,33
00070000,11,34
00080000,11,34
00090000,11,34
00100000,11,35
00110000,11,35
00120000,11,36
00130000,11,36
00140000,11,37
00150000,11,37
00160000,11,37
00170000,11,37
00180000,11,37
00190000,11,37
00200000,11,37
00210000,11,37
00220000,11,37
00230000,11,37
00240000,11,37
00250000,11,37
00260000,11,37
00270000,11,37
00280000,11,37
00290000,11,37
00300000,11,37
00310000,11,37
00320000,11,38
00330000,11,38
00340000,11,38
00350000,11,36
00360000,11,32
00370000,11,37
00380000,11,37
00390000,11,37
00400000,11,37
00410000,11,33
00420000,11,36
00430000,11,36
00440000,11,36
00450000,11,37
00460000,11,37
00470000,11,38
00480100,11,32
00480200,11,32
00490000,11,34
00500000,11,36
00510000,11,32
00520000,11,38
00530000,11,36
00540000,11,36
00550000,11,33
00560000,11,36
00570000,11,36
00580000,11,34
00590000,11,32
00600000,11,11
00610000,11,11
00620000,11,35
00630000,11,32
00640000,11,33
00650000,11,11
00660000,11,11
00670000,11,36
00680000,11,11
00690000,11,21
00700000,11,11
00710000,11,11
00720000,11,11
00730000,11,11
00740000,11,11
00750000,11,38
00760000,11,34
00770000,11,37
00780000,11,11
00790000,11,11
00800000,11,11
00810000,11,11
00820000,11,11
00830000,11,11
00840000,11,34
00850000,11,11
00860000,11,11
00870000,11,37
00880000,11,37
00890000,11,11
00900000,11,11
00910000,11,11
00920000,11,11
00930000,11,11
00940000,11,11
00950000,11,11
00960000,11,11
00970000,11,11
00980000,11,11
00990000,11,11
01000000,11,11
01010000,11,25
01020000,11,11
01030000,11,24
01040000,11,11
01050000,11,38
01060000,11,33
01070000,11,11
01080000,11,34
01090000,11,37
01100000,11,11
01110000,11,37
01120000,11,37
01130000,11,11
01140000,11,11
01150000,11,11
01160000,11,11
01170000,11,36
01180000,11,11
01190000,11,11
01200000,11,31
01210000,11,37
01220000,11,32
01230000,11,35
01240000,11,32
01250000,11,11
01260000,11,37
01270000,11,11
01280000,11,11
01290000,11,11
01300000,11,37
01310000,11,11
01320000,11,37
01330000,11,11
01340000,11,11
01350000,11,11
01360000,11,11
01370100,11,11
01370200,11,11
01380000,11,11
01390000,11,11
01400000,11,11
01410000,11,11
01420000,11,11
01430000,11,24
01440000,11,36
01450000,11,11
01460000,11,11
01470000,11,26
01480100,11,11
01480200,11,11
01490100,11,11
01490200,11,11
01500000,11,11
01510100,11,11
01510200,11,21
01510300,11,11
01510400,11,11
01510500,11,31
01510600,11,11
01520000,11,11
01530000,11,11
01540000,11,34
01550000,11,11
01560000,11,34
01570000,11,34
01580000,11,34
01590000,11,34
01600000,11,34
01610000,11,34
01620000,11,34
01630000,11,34
01640000,11,34
01650000,11,34
01660000,11,11
01670000,11,11
01690000,11,11
01700000,11,11
01710000,11,11
01720000,11,11
01730000,11,11
01740000,11,11
01750000,11,11
01760000,11,11
01770000,11,11
01780000,11,11
01790000,11,11
01800000,11,11
01810000,11,37
01820000,11,22
01830000,11,22
01840000,11,22
01850000,11,11
01860000,11,11
01870000,11,37
01880000,11,37
01890000,11,37
01900000,11,37
01910000,11,11
01920000,11,11
01930000,11,11
01940000,11,11
01950000,11,37
01960000,11,11
01970000,11,33
01980000,11,33
01990000,11,37
02000000,11,21
02010000,11,37
02020000,11,11
02030000,11,11
02040000,11,11
02050000,11,33
02060000,11,38
02070000,11,37
02080000,11,37
02090000,11,11
02100000,11,11
02110000,11,11
02120000,11,11
02130000,11,11
02140000,11,11
02150000,11,11
02160000,11,11
02170000,11,11
02180000,11,11
02190000,11,11
02200000,11,11
02210000,11,32
02220000,11,11
02230000,11,11
02240000,11,11
02250000,11,11
02260000,11,11
02270000,11,11
02280000,11,11
02290000,11,11
02300000,11,11
02310000,11,11
02320000,11,35
02330100,11,38
02330200,11,21
02340000,11,11
02350000,11,11
02360000,11,37
02370000,11,11
02380000,11,11
02390000,11,11
02400000,11,36
02410000,11,11
02420000,11,37
02430000,11,11
02440000,11,31
02450000,11,11
02460000,11,11
02470000,11,34
02480000,11,31
02490100,11,11
02490200,11,21
02500000,11,11
02510000,11,11
02520000,11,11
02530000,11,11
02540000,11,11
02550000,11,11
02560000,11,31
02570000,11,33
02580000,11,11
02590000,11,11
02600000,11,11
02610000,11,11
02620000,11,31
02630000,11,31
02640000,11,37
02650000,11,11
02660000,11,11
02670000,11,11
02680000,11,11
02690000,11,11
02700000,11,11
02710000,11,11
02720000,11,11
02730000,11,11
02750000,11,37
02760000,11,23
02770000,11,32
02790000,11,33
02800000,11,11
02810000,11,11
02820000,11,37
02830000,11,31
02840000,11,11
02850000,11,26
02860000,11,11
02870000,11,34
02880000,11,34
02890000,11,35
02900000,11,38
02910000,11,11
02920000,11,32
02930000,11,34
02940000,11,11
02950000,11,36
02960000,11,31
02970000,11,33
02980000,11,34
02990000,11,34
03000000,11,34
03010000,11,36
03020000,11,38
03030000,11,11
03040000,11,36
03050000,11,38
03060000,11,11
03060200,11,11
03060300,11,11
03060400,11,21
03070000,11,34
03080000,11,36
03090000,11,11
03100000,11,11
03110000,11,37
03120000,11,37
03130000,11,36
03140000,11,36
03150000,11,37
03160000,11,35
03170000,11,35
03180000,11,37
03190100,11,11
03190200,11,31
03190300,11,11
03200000,11,31
03210000,11,37
03220100,11,37
03220200,11,11
03230000,11,34
03240000,11,38
03250000,11,11
03260000,11,11
03270000,11,34
03280000,11,37
03290000,11,11
03300000,11,11
03310000,11,11
03320000,11,32
03330000,11,38
03340000,11,34
03350000,11,31
03360000,11,36
03370000,11,34
00010000,12,11
00020000,12,11
00030000,12,11
00040000,12,31
00060000,12,31
00070000,12,31
00080000,12,31
00090000,12,31
00100000,12,23
00110100,12,37
00110200,12,37
00110300,12,32
00110400,12,31
00110500,12,11
00110600,12,38
00110700,12,31
00110800,12,23
00120000,12,31
00130000,12,31
00140000,12,31
00150000,12,33
00160000,12,33
00170000,12,33
00180000,12,34
00190000,12,34
00200000,12,34
00210000,12,34
00220000,12,35
00230000,12,35
00240000,12,35
00250000,12,35
00260000,12,35
00270000,12,35
00280000,12,35
00290000,12,35
00300000,12,35
00310000,12,35
00320000,12,35
00330000,12,35
00340000,12,35
00350000,12,35
00360000,12,35
00370000,12,35
00380000,12,35
00390000,12,35
00400000,12,35
00410000,12,35
00420000,12,35
00430000,12,35
00450000,12,35
00460000,12,35
00470000,12,34
00490000,12,36
00500000,12,36
00510000,12,37
00520000,12,37
00530000,12,37
00540000,12,37
00560000,12,37
00570000,12,37
00580000,12,37
00590000,12,37
00600000,12,37
00610000,12,37
00620000,12,37
00630000,12,37
00640000,12,37
00650000,12,37
00660000,12,37
00670000,12,37
00680000,12,37
00690000,12,37
00700000,12,37
00710000,12,38
00720000,12,38
00730000,12,38
00740000,12,38
00750000,12,38
00760000,12,32
00770000,12,32
00780000,12,32
00790000,12,32
00800000,12,32
00810000,12,32
00820000,12,32
00830000,12,32
00840000,12,32
00850000,12,32
00860000,12,32
00870000,12,32
00880000,12,36
00890000,12,36
00900000,12,36
00910000,12,31
00920000,12,31
00930000,12,31
00940000,12,33
00950000,12,33
00960000,12,33
00970000,12,33
00980000,12,33
00990000,12,34
01000000,12,34
01010000,12,34
01020000,12,34
01030000,12,34
01040000,12,34
01050000,12,34
01060000,12,34
01070000,12,34
01080000,12,34
01090000,12,24
01100000,12,24
01110000,12,36
01120000,12,36
01130000,12,37
01140000,12,37
01150000,12,37
01160000,12,37
01170000,12,37
01180000,12,37
01190000,12,37
01200000,12,37
01210000,12,37
01220000,12,37
01230000,12,37
01240000,12,37
01250000,12,37
01260000,12,37
01270000,12,37
01280000,12,38
01290000,12,38
01310000,12,24
01320000,12,36
01330000,12,36
01340000,12,36
01350000,12,22
01360000,12,37
01370000,12,37
01410000,12,11
01420000,12,11
01430000,12,34
01460000,12,38
01470000,12,38
01480000,12,34
01490000,12,34
01500000,12,34
01510000,12,36
01520000,12,36
01530000,12,36
01540000,12,36
01550000,12,36
01560000,12,36
01570000,12,36
01580000,12,36
01590000,12,38
01600000,12,37
01610000,12,23
01620000,12,34
01640000,12,32
01650000,12,32
01660000,12,11
01670000,12,35
01680000,12,37
01690000,12,37
01700000,12,36
01710000,12,37
01720000,12,37
01730000,12,26
01740000,12,34
01750000,12,36
01760000,12,36
01770000,12,11
01780000,12,23
01790000,12,23
01800000,12,31
01810000,12,34
01820000,12,37
01830000,12,32
01840000,12,34
01850000,12,34
01860000,12,37
01870000,12,37
01880000,12,37
01890000,12,37
01900000,12,11
01910000,12,32
01920000,12,32
01930000,12,37
01940000,12,34
01960000,12,34
01970000,12,34
01980000,12,37
01990000,12,37
02010000,12,37
02020000,12,22
02030000,12,37
02040000,12,36
02050000,12,36
02060000,12,36
02070000,12,36
02080000,12,37
02090000,12,25
02100000,12,37
02110000,12,37
02120000,12,38
02130000,12,32
02140000,12,32
02150000,12,11
02160000,12,33
02170000,12,34
02190000,12,34
02200100,12,37
02200200,12,37
02210000,12,37
02220000,12,38
02230000,12,32
02240000,12,34
02250000,12,31
02260000,12,31
02270000,12,38
02280000,12,31
02290000,12,31
02300000,12,31
02310000,12,31
02320000,12,34
02330000,12,34
02340000,12,35
02350000,12,11
02360000,12,35
02380000,12,11
02390000,12,37
02400000,12,11
02420000,12,37
02430000,12,22
02440000,12,22
02450000,12,37
02460000,12,37
02470000,12,22
02480000,12,22
02490000,12,37
02500000,12,21
02510000,12,37
02520000,12,37
02530000,12,38
02540000,12,22
02550000,12,37
02560000,12,34
02570000,12,34
02580000,12,22
02590000,12,11
02600000,12,36
02610000,12,37
02620000,12,37
02630000,12,36
02640000,12,38
02650000,12,38
02660000,12,38
02670000,12,35
02680000,12,22
02690100,12,11
02690200,12,11
02690300,12,21
02690400,12,11
02700000,12,11
02710000,12,22
02720000,12,35
02730000,12,36
02740000,12,36
02750000,12,36
02760000,12,35
02770000,12,35
02780000,12,11
02790000,12,35
02800000,12,35
02810000,12,35
02820000,12,11
02830000,12,11
02840000,12,11
02850000,12,11
02860000,12,11
02870000,12,11
02880000,12,31
02890000,12,35
02900000,12,35
02910000,12,35
02920000,12,35
02940000,12,38
02950000,12,38
02960000,12,37
02970000,12,37
02980000,12,36
02990000,12,36
03000000,12,36
03010000,12,36
03020000,12,36
03030000,12,36
03040000,12,36
03050000,12,37
03060000,12,37
03070000,12,37
03080000,12,35
03090000,12,35
03100000,12,38
03110000,12,24
03120000,12,38
03130000,12,36
03140000,12,37
03150000,12,37
03160000,12,37
03170000,12,37
03180000,12,37
03190000,12,37
03200000,12,36
03210000,12,11
03220000,12,50
03230000,12,37
03250000,12,22
03260000,12,34
03270000,12,37
03280000,12,11
03290000,12,11
03300000,12,34
03310000,12,11
03320000,12,11
03330000,12,11
03340000,12,38
03350000,12,22
03360000,12,24
03380000,12,11
03390000,12,11
03400000,12,11
03420000,12,11
03430000,12,11
03440000,12,11
03450000,12,11
03460000,12,11
03470000,12,11
03480000,12,11
03490000,12,11
03500000,12,22
03510000,12,11
03520000,12,11
03530000,12,38
03540000,12,34
03550000,12,34
03560000,12,34
03570000,12,22
03580000,12,11
03590000,12,11
03600000,12,11
03610000,12,11
03620000,12,11
03630000,12,11
03640000,12,36
03650000,12,11
03660000,12,37
03670000,12,33
03680000,12,33
03690000,12,26
03700000,12,26
03710000,12,38
03720000,12,38
03730000,12,38
03740000,12,38
03750000,12,38
03760000,12,38
03770000,12,38
03780000,12,38
03790000,12,38
03800000,12,38
03810000,12,38
03820000,12,26
03830000,12,11
03840000,12,11
03850000,12,11
03860000,12,11
03870000,12,31
03880000,12,31
03890000,12,31
03900000,12,11
03910000,12,11
03920000,12,11
03930000,12,23
03940000,12,36
03950000,12,36
03960000,12,36
03970000,12,31
03990000,12,34
04000000,12,36
04010000,12,11
04020000,12,31
04030000,12,31
04040000,12,33
04050000,12,33
04060000,12,33
04070000,12,34
04080000,12,34
04090000,12,34
04110000,12,37
04120000,12,37
04130000,12,37
04140000,12,37
04150000,12,37
04160000,12,11
04170000,12,11
04180000,12,11
04190200,12,11
04190400,12,11
04200000,12,35
04210000,12,35
04220000,12,35
04230000,12,35
04240000,12,37
04250000,12,37
04260000,12,37
04270000,12,37
04280000,12,37
04290000,12,37
04300000,12,37
04310000,12,37
04330000,12,33
04340000,12,21
04350000,12,31
04360000,12,38
04370000,12,35
04380000,12,35
04390000,12,32
04400000,12,38
04410000,12,26
04420000,12,37
04430000,12,32
04440000,12,32
04450000,12,32
04460000,12,32
04470000,12,32
04480000,12,37
04490000,12,37
04500000,12,37
04510000,12,37
04520000,12,11
04530000,12,11
04540000,12,11
04550000,12,11
04560000,12,11
04570000,12,37
04590000,12,33
04600000,12,37
04610000,12,36
04620000,12,36
04630000,12,32
04640000,12,32
04650000,12,37
04660000,12,38
