ccbaCpno_item,ccbaMnm1_item
1111100010000,서울 숭례문
1111100020000,서울 원각사지 십층석탑
1111100030000,서울 북한산 신라 진흥왕 순수비
1113100040000,여주 고달사지 승탑
1113300050000,보은 법주사 쌍사자 석등
1113300060000,충주 탑평리 칠층석탑
1113400070000,천안 봉선홍경사 갈기비
1113400080000,보령 성주사지 대낭혜화상탑비
1113400090000,부여 정림사지 오층석탑
1113500100000,남원 실상사 백장암 삼층석탑
1113500110000,익산 미륵사지 석탑
1113600120000,구례 화엄사 각황전 앞 석등
1113600130000,강진 무위사 극락보전
1113700140000,영천 거조사 영산전
1113700150000,안동 봉정사 극락전
1113700160000,안동 법흥사지 칠층전탑
1113700170000,영주 부석사 무량수전 앞 석등
1113700180000,영주 부석사 무량수전
1113700190000,영주 부석사 조사당
1113700200000,경주 불국사 다보탑
1113700210000,경주 불국사 삼층석탑
1113700220000,경주 불국사 연화교 및 칠보교
1113700230000,경주 불국사 청운교 및 백운교
1113700240000,경주 석굴암 석굴
1113700250000,경주 태종무열왕릉비
1113700260000,경주 불국사 금동비로자나불좌상
1113700270000,경주 불국사 금동아미타여래좌상
1113700280000,경주 백률사 금동약사여래입상
1113700290000,성덕대왕신종
1113700300000,경주 분황사 모전석탑
1113700310000,경주 첨성대
1113800320000,합천 해인사 대장경판
1113800330000,창녕 신라 진흥왕 척경비
1113800340000,창녕 술정리 동 삼층석탑
1113600350000,구례 화엄사 사사자 삼층석탑
1113200360000,상원사 동종
1113700370000,경주 황복사지 삼층석탑
1113700380000,경주 고선사지 삼층석탑
1113700390000,경주 나원리 오층석탑
1113700400000,경주 정혜사지 십삼층석탑
1113300410000,청주 용두사지 철당간
1113600420000,순천 송광사 목조삼존불감
1113600430000,혜심 고신제서
1113600440000,장흥 보림사 남·북 삼층석탑 및 석등
1113700450000,영주 부석사 소조여래좌상
1113700460000,부석사 조사당 벽화
1113800470000,하동 쌍계사 진감선사탑비
1113200480000,평창 월정사 팔각 구층석탑
1113200480200,평창 월정사 석조보살좌상
1113400490000,예산 수덕사 대웅전
1113600500000,영암 도갑사 해탈문
1113200510000,강릉 임영관 삼문
1113800520000,합천 해인사 장경판전
1113600530000,구례 연곡사 동 승탑
1113600540000,구례 연곡사 북 승탑
1113300550000,보은 법주사 팔상전
1113600560000,순천 송광사 국사전
1113600570000,화순 쌍봉사 철감선사탑
1113400580000,청양 장곡사 철조약사여래좌상 및 석조대좌
1113200590000,원주 법천사지 지광국사탑비
1111100600000,청자 사자형뚜껑 향로
1111100610000,청자 어룡형 주전자
1113500620000,김제 금산사 미륵전
1113200630000,철원 도피안사 철조비로자나불좌상
1113300640000,보은 법주사 석련지
1111100650000,청자 기린형뚜껑 향로
1111100660000,청자 상감연지원앙문 정병
1113600670000,구례 화엄사 각황전
1111100680000,청자 상감운학문 매병
1112100690000,심지백 개국원종공신녹권
1111100700000,훈민정음
1111100710000,"동국정운 권1, 6"
1111100720000,금동계미명삼존불입상
1111100730000,금동삼존불감
1111100740000,청자 오리모양 연적
1113800750000,표충사 청동 은입사 향완
1113400760000,이순신 난중일기 및 서간첩 임진장초
1113700770000,의성 탑리리 오층석탑
1111100780000,금동미륵보살반가사유상(1962-1)
1111100790000,경주 구황동 금제여래좌상
1111100800000,경주 구황동 금제여래입상
1111100810000,경주 감산사 석조미륵보살입상
1111100820000,경주 감산사 석조아미타여래입상
1111100830000,금동미륵보살반가사유상(1962-2)
1113400840000,서산 용현리 마애여래삼존상
1111100850000,금동신묘명삼존불입상
1111100860000,개성 경천사지 십층석탑
1113700870000,금관총 금관 및 금제 관식
1113700880000,금관총 금제 허리띠
1111100890000,평양 석암리 금제 띠고리
1111100900000,경주 부부총 금귀걸이
1111100910000,도기 기마인물형 명기
1111100920000,청동 은입사 포류수금문 정병
1111100930000,백자 철화포도원숭이문 항아리
1111100940000,청자 참외모양 병
1111100950000,청자 투각칠보문뚜껑 향로
1111100960000,청자 구룡형 주전자
1111100970000,청자 음각연화당초문 매병
1111100980000,청자 상감모란문 항아리
1111100990000,김천 갈항사지 동·서 삼층석탑
1111101000000,개성 남계원지 칠층석탑
1111101010000,원주 법천사지 지광국사탑
1111101020000,충주 정토사지 홍법국사탑
1112401030000,광양 중흥산성 쌍사자 석등
1111101040000,전 원주 흥법사지 염거화상탑
1111101050000,산청 범학리 삼층석탑
1113301060000,계유명전씨아미타불비상
1111101070000,백자 철화포도문 항아리
1113401080000,계유명삼존천불비상
1113701090000,군위 아미타여래삼존 석굴
1111101100000,이제현 초상
1113701110000,안향 초상
1113701120000,경주 감은사지 동·서 삼층석탑
1111101130000,청자 철화양류문 통형 병
1111101140000,청자 상감모란국화문 참외모양 병
1111101150000,청자 상감당초문 완
1111101160000,청자 상감모란문 표주박모양 주전자
1113601170000,장흥 보림사 철조비로자나불좌상
1111101180000,금동미륵보살반가사유상(1964)
1111101190000,금동연가7년명여래입상
1113101200000,용주사 동종
1113701210000,안동 하회탈 및 병산탈
1113201220000,양양 진전사지 삼층석탑
1113501230000,익산 왕궁리 오층석탑 사리장엄구
1111101240000,강릉 한송사지 석조보살좌상
1111101250000,녹유골호(부석제외함)
1113701260000,불국사 삼층석탑 사리장엄구
1111101270000,서울 삼양동 금동관음보살입상
1113101280000,금동관음보살입상
1111101290000,금동보살입상(1968)
1113701300000,구미 죽장리 오층석탑
1111101310000,고려말 화령부 호적 관련 고문서
1113701320000,징비록
1111101330000,청자 동화연화문 표주박모양 주전자
1111101340000,금동보살삼존입상
1111101350000,신윤복 필 풍속도 화첩
1111101360000,금동 용두보당
1111101370100,대구 비산동 청동기 일괄 - 검 및 칼집 부속
1113101370200,대구 비산동 청동기 일괄 - 투겁창 및 꺾창
1111101380000,전 고령 금관 및 장신구 일괄
1111101390000,김홍도 필 군선도 병풍
1111101400000,나전 화문 동경
1111101410000,정문경
1111101420000,동국정운
1112401430000,화순 대곡리 청동기 일괄
1113601440000,영암 월출산 마애여래좌상
1111101450000,귀면 청동로
1111101460000,전 논산 청동방울 일괄
1112601470000,울주 천전리 각석
1111101480100,십칠사찬고금통요 권16
1111101480200,십칠사찬고금통요 권17
1111101490100,"동래선생교정북사상절 권4, 5"
1111101490200,동래선생교정북사상절 권6
1111101500000,송조표전총류 권7
1111101510100,조선왕조실록 정족산사고본
1112101510200,조선왕조실록 태백산사고본
1111101510300,조선왕조실록 오대산사고본
1111101510400,조선왕조실록 적상산사고본
1113101510500,조선왕조실록 봉모당본
1111101510600,조선왕조실록 낙질 및 산엽본
1111101520000,비변사등록
1111101530000,일성록
1113401540000,무령왕 금제 관식
1113401550000,무령왕비 금제 관식
1113401560000,무령왕 금귀걸이
