ccbaCpno_item,ccbaPcd1_item
1363900980000,00
1363701460000,00
1363701550000,00
1363201780000,00
1363901950000,00
1363801960000,00
1363202190000,00
1363802220000,00
1363202260000,00
1363902360000,00
1363502490000,00
1363302560000,00
1363202600000,00
1363302610000,00
1363302620000,00
1362102670000,00
1363903420000,00
1363703730000,00
1363903840000,00
1363803900000,00
1362303910000,00
1362303930000,00
1363603940000,00
1363803950000,00
1363804110000,00
1363204130000,00
1363104140000,00
1363704150000,00
1363204160000,00
1363204170000,00
1363604180000,00
1363604340000,00
1363605350000,00
1363105370000,00
2333800700000,00
2333501470000,00
2333401930000,00
3412600120000,00
1122105970000,01
1123706050000,01
1333402490000,01
1331102670000,01
1333102680000,01
1333102690000,01
1333303980000,01
1333904160000,01
1333404330000,01
1333104410000,01
1363804770000,01
1363505010000,01
2112600350000,01
2113702490000,01
2221100180000,01
2221100370000,01
2333900024200,01
2331100110000,01
2333900170000,01
2332500390000,01
2333301170000,01
2333301260000,01
2333301270000,01
2333701360000,01
2333601500000,01
2333701500000,01
2333601580000,01
2333601590000,01
2333601600000,01
2333601610000,01
2333401690000,01
2333602280000,01
2333602300000,01
2333602310000,01
2333602400000,01
3412400180000,01
3412500320000,01
3413100610000,01
3413601970000,01
1112602850000,03
1333403340000,03
1333803350000,03
1333103890000,03
1333904120000,03
1333204260000,03
1333604580000,03
1333804860000,03
2333200010000,03
2333800270000,03
2332300550000,03
2332100630000,03
2333301160000,03
2333601720000,03
1111101410000,05
1112601470000,05
1111102310000,05
1111102550000,05
1333800020000,05
1333501030000,05
1332301370000,05
1333101480000,05
1332603320000,05
1333203760000,05
1333503910000,05
1333604100000,05
1332204110000,05
1333804720000,05
1333404730000,05
1333905220000,05
2113501630000,05
2221100170000,05
2333900023300,05
2332500030000,05
2333200040000,05
2333200090000,05
2332200120000,05
2332200130000,05
2332200140000,05
2332200150000,05
2332300160000,05
2333100220000,05
2332600270000,05
2332600280000,05
2333400280000,05
2332600300000,05
2332300310000,05
2332600310000,05
2332300320000,05
2332300330000,05
2332300340000,05
2333400400000,05
2332300440000,05
2332300450000,05
2332300460000,05
2332300470000,05
2332300480000,05
2333200560000,05
2333400630000,05
2333200830000,05
2333100910000,05
2333101030000,05
2333801070000,05
2333501110000,05
2333301190000,05
2333601230000,05
2333301330000,05
2333501430000,05
2333501490000,05
2333101580000,05
2333801630000,05
2333401860000,05
2333102010000,05
2333102080000,05
2333802080000,05
2333102090000,05
2333802240000,05
2333602260000,05
2333802300000,05
2333602330000,05
3412400060000,05
3412400170000,05
3413100470000,05
3413100490000,05
3413100580000,05
3413100680000,05
3413201090000,05
3413201100000,05
3413601170000,05
3413403720000,05
3413706910000,05
1111101370100,07
1113101370200,07
1123711520000,07
1121118230000,07
1123520330000,07
1123520340000,07
1332101920000,07
1333802400000,07
1332403750000,07
2333900022500,07
2333900022600,07
2333900022700,07
2333900022800,07
2333900022900,07
2333900023000,07
2333900023100,07
2333900023200,07
2333900023700,07
2333200190000,07
2333200820000,07
3413201330000,07
1111100890000,09
1122220170000,09
1353300200000,09
2112100180000,09
2112100190000,09
2112100200000,09
2223500250000,09
2332600400000,09
2333501570000,09
1111100720000,10
1111100780000,10
1111100830000,10
1111100850000,10
1111101180000,10
1111101270000,10
1111101380000,10
1112201830000,10
1112201840000,10
1111101860000,10
1113702750000,10
1111102930000,10
1113403070000,10
1123700630000,10
1123401960000,10
1123701980000,10
1121102850000,10
1123403290000,10
1123403300000,10
1121103310000,10
1121103330000,10
1121104530000,10
1122105980000,10
1123106430000,10
1121107790000,10
1121107800000,10
1121108080000,10
1122209970000,10
1123314010000,10
1122119210000,10
