ccbaCpno_item,ccbaCtcd_item,ccbaLcto_item
1111100020000,11,11
1111101510300,11,11
1111102230000,11,11
1111102240000,11,11
1111102250000,11,11
1111102260000,11,11
1111102270000,11,11
1111102280000,11,11
1111102290000,11,11
1111102370000,11,11
1111102380000,11,11
1111102650000,11,11
1113103060000,11,11
1111103100000,11,11
1111103290000,11,11
1111103300000,11,11
1111103310000,11,11
1121100010000,11,11
1121100030000,11,11
1121101410000,11,11
1121101420000,11,11
1121101770000,11,11
1121102150000,11,11
1121102350000,11,11
1123102590000,11,11
1123402690200,11,11
1123502780000,11,11
1121103210000,11,11
1121103830000,11,11
1121103840000,11,11
1121103850000,11,11
1121103860000,11,11
1123403900000,11,11
1123104180000,11,11
1121105690400,11,11
1121105691000,11,11
1121105691300,11,11
1121105691900,11,11
1121105692000,11,11
1121105692200,11,11
1121105692300,11,11
1121105692500,11,11
1121105692900,11,11
1121105693000,11,11
1121105693100,11,11
1123105910000,11,11
1121106530000,11,11
1121106540000,11,11
1121107030200,11,11
1121107450700,11,11
1121107450800,11,11
1121107580000,11,11
1121108090000,11,11
1121108100000,11,11
1121108110000,11,11
1121108120000,11,11
1121108130000,11,11
1121108140000,11,11
1121108150000,11,11
1121108160000,11,11
1121108170000,11,11
1121108180000,11,11
1121108210000,11,11
1121108370000,11,11
1121108390000,11,11
1121108400000,11,11
1121108410000,11,11
1121108430000,11,11
1121108450000,11,11
1121108460000,11,11
1121108470000,11,11
1121108500200,11,11
1121108510000,11,11
1121108560000,11,11
1121108600000,11,11
1121108610200,11,11
1121108770000,11,11
1121109320000,11,11
1121109730000,11,11
1121109740000,11,11
1121109750000,11,11
1121110000000,11,11
1121110760000,11,11
1121110770200,11,11
1121110780300,11,11
1121110890000,11,11
1121110900000,11,11
1121110910000,11,11
1121110930000,11,11
1121111190000,11,11
1123111630000,11,11
1121111900000,11,11
1123111930200,11,11
1121112100000,11,11
1121112380000,11,11
1121112810200,11,11
1122112870000,11,11
1121112970000,11,11
1121113550000,11,11
1121113560000,11,11
1121113580000,11,11
1121113970000,11,11
1123113990000,11,11
1121114380000,11,11
1121114390000,11,11
1121114420000,11,11
1121114430000,11,11
1121114440000,11,11
1123114490000,11,11
1121114600000,11,11
1121114630200,11,11
1123614690000,11,11
1121114740200,11,11
1121114780000,11,11
1121114900000,11,11
1121114910000,11,11
1121114920000,11,11
1123414970000,11,11
1121114990100,11,11
1121115210200,11,11
1121115310000,11,11
1123115670000,11,11
1121116010000,11,11
1121116020000,11,11
1121116030000,11,11
1121116180000,11,11
1121116180200,11,11
1121116180300,11,11
1121116180400,11,11
1121116180500,11,11
1121116250200,11,11
1123716450000,11,11
1121116460000,11,11
1121116500000,11,11
1121116570000,11,11
1121116700000,11,11
1121116780000,11,11
1123116810000,11,11
1123417200000,11,11
1121117400000,11,11
1121117590000,11,11
1121117600000,11,11
1121117610000,11,11
1121117620000,11,11
1121117630000,11,11
1121117640000,11,11
1121117690000,11,11
1121117700000,11,11
1121117740000,11,11
1121117750000,11,11
1121117760000,11,11
1121117880000,11,11
1121118210000,11,11
1121118810000,11,11
1121119010300,11,11
1121119011000,11,11
1121119050000,11,11
1123719060000,11,11
1121119770000,11,11
1121120040000,11,11
1123420090000,11,11
1121120220000,11,11
1121120600000,11,11
1121120770000,11,11
1123420860000,11,11
1121121510000,11,11
1121121590000,11,11
1121121640000,11,11
1121121670000,11,11
1331100100000,11,11
1331101170000,11,11
1331101210000,11,11
1331101220000,11,11
1331101230000,11,11
1331101250000,11,11
1331101430000,11,11
1331101490000,11,11
1331101710000,11,11
1331102130000,11,11
1331102280000,11,11
1331102370000,11,11
1331102480000,11,11
1331102570000,11,11
1331102710000,11,11
1331102780000,11,11
1331102790000,11,11
1331102810000,11,11
1331102820000,11,11
1331102830000,11,11
1331103540000,11,11
1331104380000,11,11
1331104610000,11,11
1331104650000,11,11
1331104970000,11,11
1331105580000,11,11
1351100360000,11,11
1351100670000,11,11
1361100080000,11,11
1361100090000,11,11
1361100590000,11,11
1361101940000,11,11
1361102510000,11,11
1361102540000,11,11
1361102550000,11,11
1361104710000,11,11
1361104720000,11,11
1271100560000,11,11
1271100850000,11,11
1271101110000,11,11
1273101190000,11,11
1271101220000,11,11
