ccbaCpno,ccbaKdcd,ccmaName,crltsnoNm,ccbaMnm1,ccbaMnm2,ccbaCtcd,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaAsno,longitude,latitude,ccbaPcd1,ccbaPcd1Nm
1123706050000,12,보물,605,고령 장기리 암각화,高靈 場基里 岩刻畫,37,경북,고령군,고령군,06050000,128.2920737,35.71263572,05,청동기
1333402490000,13,사적,249,부여 송국리 유적,扶餘 松菊里 遺蹟,34,충남,부여군,부여군,02490000,127.0313565,36.26074482,05,청동기
1331102670000,13,사적,267,서울 암사동 유적,서울 岩寺洞 遺蹟,11,서울,강동구,서울 강동구,02670000,127.1306621149,37.56098674566,03,석기
1333102680000,13,사적,268,연천 전곡리 유적,漣川 全谷里 遺蹟,31,경기,연천군,연천군,02680000,127.060509,38.015179,03,석기
1333102690000,13,사적,269,하남 미사리 유적,河南 渼沙里 遺蹟,31,경기,하남시,하남시,02690000,127.201074689009,37.5790396803398,03,석기
1333303980000,13,사적,398,단양 수양개 유적,丹陽 垂楊介 遺蹟,33,충북,단양군,단양군,03980000,128.33254,36.960345,03,석기
1333904160000,13,사적,416,제주 삼양동 유적,濟州 三陽洞 遺蹟,50,제주,제주시,제주시,04160000,126.587546542026,33.5233312270546,05,청동기
1333404330000,13,사적,433,공주 장선리 유적,公州 長善里 遺蹟,34,충남,공주시,공주시,04330000,127.07039,36.317147,05,청동기
1333104410000,13,사적,441,시흥 오이도 유적,始興 烏耳島 遺蹟,31,경기,시흥시,시흥시,04410000,126.695485,37.342656,03,석기
1112602850000,11,국보,285,울주 대곡리 반구대 암각화,蔚州 大谷里 盤龜臺 岩刻畫,26,울산,울주군,울주군,02850000,129.177842844766,35.6038151324587,03,석기
1333403340000,13,사적,334,공주 석장리 유적,公州 石莊里 遺蹟,34,충남,공주시,공주시,03340000,127.190013975287,36.4466225581584,03,석기
1333803350000,13,사적,335,통영 연대도 패총,統營 煙臺島 貝塚,38,경남,통영시,통영시,03350000,128.400975837765,34.7386206069753,03,석기
1333103890000,13,사적,389,파주 가월리와 주월리 유적,坡州 佳月里와 舟月里 遺蹟,31,경기,파주시,파주시,03890000,126.90088483662,37.9807723474912,03,석기
1333904120000,13,사적,412,제주 고산리 유적,濟州 高山里 遺蹟,50,제주,제주시,제주시,04120000,126.166892678003,33.3045453604739,03,석기
1333204260000,13,사적,426,고성 문암리 유적,高城 文巖里 遺蹟,32,강원,고성군,고성군,04260000,128.544334,38.304767,03,석기
1333604580000,13,사적,458,순천 월평 유적,順天 月坪 遺蹟,36,전남,순천시,순천시,04580000,127.270744348579,34.9167002135552,03,석기
1333804860000,13,사적,486,창녕 비봉리 패총,昌寧 飛鳳里 貝塚,38,경남,창녕군,창녕군,04860000,128.645312460464,35.410624644226,03,석기
1112601470000,11,국보,147,울주 천전리 각석,蔚州 川前里 刻石,26,울산,울주군,울주군,01470000,129.175090935504,35.6143464249842,05,청동기
1333800020000,13,사적,2,김해 봉황동 유적,金海 鳳凰洞 遺蹟,38,경남,김해시,김해시,00020000,128.8741748,35.23235145,05,청동기
1333501030000,13,사적,103,부안 구암리 지석묘군,扶安 龜岩里 支石墓群,35,전북,부안군,부안군,01030000,126.65445587856,35.70798895277,05,청동기
1332301370000,13,사적,137,강화 부근리 지석묘,江華 富近里 支石墓,23,인천,강화군,강화군,01370000,126.436660058432,37.7742424675164,05,청동기
1333101480000,13,사적,148,파주 덕은리 주거지와 지석묘군,坡州 德隱里 住居址와 支石墓群,31,경기,파주시,파주시,01480000,126.77917520912,37.8146944723675,05,청동기
1332603320000,13,사적,332,울주 검단리 유적,蔚州 檢丹里 遺蹟,26,울산,울주군,울산 울주군,03320000,129.181719358422,35.4484378793688,05,청동기
1333203760000,13,사적,376,속초 조양동 유적,束草 朝陽洞 遺蹟,32,강원,속초시,속초시,03760000,128.590773212986,38.1881723503897,05,청동기
1333503910000,13,사적,391,고창 죽림리 지석묘군,高敞 竹林里 支石墓群,35,전북,고창군,고창군,03910000,126.6514331,35.44127299,05,청동기
1333604100000,13,사적,410,화순 효산리와 대신리 지석묘군,和順 孝山里와 大薪里 支石墓郡,36,전남,화순군,화순군,04100000,126.9170921,34.98674249,05,청동기
