ccbaCpno_item,ccbaCtcd_item,ccbaLcto_item
1111100020000,11,11
1111102230000,11,11
1111102240000,11,11
1111102250000,11,11
1111102260000,11,11
1111102270000,11,11
1111102650000,11,11
1121100010000,11,11
1121100030000,11,11
1121101410000,11,11
1121101420000,11,11
1121101770000,11,11
1121102150000,11,11
1121102350000,11,11
1121103830000,11,11
1121103840000,11,11
1121103850000,11,11
1121103860000,11,11
1121105690400,11,11
1121107450700,11,11
1121107450800,11,11
1121107580000,11,11
1121108090000,11,11
1121108100000,11,11
1121108110000,11,11
1121108120000,11,11
1121108130000,11,11
1121108140000,11,11
1121108150000,11,11
1121108160000,11,11
1121108170000,11,11
1121108180000,11,11
1121108210000,11,11
1121108460000,11,11
1121108470000,11,11
1121108510000,11,11
1121108770000,11,11
1121110000000,11,11
1121110890000,11,11
1121111190000,11,11
1123111930200,11,11
1121112100000,11,11
1121114390000,11,11
1121114600000,11,11
1121114780000,11,11
1123116810000,11,11
1121117400000,11,11
1121117590000,11,11
1121117600000,11,11
1121117610000,11,11
1121117620000,11,11
1121117630000,11,11
1121117640000,11,11
1121117690000,11,11
1121117700000,11,11
1121118810000,11,11
1331100100000,11,11
1331101170000,11,11
1331101210000,11,11
1331101220000,11,11
1331101230000,11,11
1331101250000,11,11
1331101430000,11,11
1331101490000,11,11
1331101710000,11,11
1331102130000,11,11
1331102280000,11,11
1331102370000,11,11
1331102480000,11,11
1331102570000,11,11
1331102710000,11,11
1331102780000,11,11
1331102790000,11,11
1331102810000,11,11
1331102820000,11,11
1331102830000,11,11
1331104380000,11,11
1331104610000,11,11
1331104650000,11,11
1331105580000,11,11
1111100010000,11,12
1111102120000,11,12
1121104190200,11,12
1121105230200,11,12
1121107190000,11,12
1121107200000,11,12
1121107450200,11,12
1121107620000,11,12
1121107740000,11,12
1121108190000,11,12
1121108200000,11,12
1121110090000,11,12
1331101240000,11,12
1331101570000,11,12
1331102530000,11,12
1331102560000,11,12
1331102580000,11,12
1331102800000,11,12
1331102840000,11,12
1121113830000,11,13
1331105200000,11,13
1331105210000,11,13
1121117380000,11,14
1121107630000,11,15
1121107690000,11,15
1121107720000,11,15
1121108380000,11,15
1121118050000,11,15
1111102910000,11,16
1121104170000,11,16
1121104190400,11,16
1121107060000,11,16
1121107100000,11,16
1121107100200,11,16
1121107100500,11,16
1121107480000,11,16
1121114630400,11,16
1121115940300,11,16
1121118280000,11,16
1331100830000,11,16
1331102040000,11,16
1331102080000,11,16
1121106570000,11,18
1121114620000,11,18
1121115800000,11,18
1121103510000,11,19
1121107360000,11,19
1121107450400,11,19
1121112450000,11,19
1121115280000,11,19
1121115290000,11,19
1121115300000,11,19
1121115390000,11,19
1121118200000,11,19
1331100320000,11,19
1331100330000,11,19
1331102750000,11,19
1331102760000,11,19
1331102770000,11,19
1331103240000,11,19
1121107450100,11,20
1331103990000,11,20
1331103720000,11,21
1111101480100,11,25
1111101500000,11,25
1111101510100,11,25
1111101520000,11,25
1111101530000,11,25
1111103030000,11,25
1111103060200,11,25
1111103190300,11,25
1121107610000,11,25
1121107650000,11,25
1121107700000,11,25
1121107710000,11,25
1121107720200,11,25
1121108500300,11,25
1121108820000,11,25
1121110860000,11,25
1121110870100,11,25
1121113580200,11,25
1121114630300,11,25
1121115040000,11,25
1121115370200,11,25
1121115420000,11,25
1121115600000,11,25
1121115830000,11,25
1121115840000,11,25
1121115850000,11,25
1121115860000,11,25
1121115870000,11,25
1121115880000,11,25
1121115890000,11,25
1121115900000,11,25
1121115910000,11,25
1121115920000,11,25
1331102540000,11,25
1331101990000,11,26
1331102670000,11,27
1331100110000,11,28
1331101010000,11,28
1331102430000,11,28
1331102700000,11,28
1331102970000,11,28
1121115240000,11,30
1331102010000,11,30
1331104400000,11,30
1111101480200,11,31
1111103190100,11,31
1121105230100,11,31
1121107100300,11,31
1121108650000,11,31
1121112910000,11,31
1121115370000,11,31
1121115930000,11,31
1121115940100,11,31
1121115950100,11,31
1121118040000,11,31
1331101940000,11,31
1331102340000,11,33
1331104550000,11,33
1121100110500,11,34
1331103430000,11,35
1332101920000,21,16
1332102730000,21,16
1122102500000,21,21
1122104340000,21,21
1122112240200,21,21
1122114610000,21,21
1122115250000,21,21
1122115260000,21,21
1122115950200,21,21
1332102150000,21,21
1112101510200,21,23
1332105390000,21,23
1122118960000,21,25
1122117710000,21,26
1332200620000,22,11
1332202900000,22,11
1332204420000,22,11
1332204430000,22,11
1332205380000,22,11
1122202430000,22,12
1122202440000,22,12
1122202470000,22,12
1122202480000,22,12
1122202540000,22,12
1122206010000,22,12
1122208050000,22,12
1122209920000,22,12
1122212140000,22,12
1122215050000,22,12
1122215630000,22,12
1122216100000,22,12
1122218500000,22,12
1122221320000,22,12
1122221330000,22,12
1332202620000,22,12
1332205440000,22,15
1122213350000,22,17
1122214630000,22,17
1122214640000,22,17
1122214650000,22,17
1122214660000,22,17
1332204110000,22,17
1122203500000,22,18
1122205390000,22,18
1122205540000,22,18
1122206730000,22,18
1122220530000,22,18
1332204880000,22,18
1332302870000,23,11
1332305570000,23,11
1332302110000,23,15
1332305560000,23,19
1122300100000,23,30
1122301610000,23,30
1122301780000,23,30
1122301790000,23,30
1122303930000,23,30
1122306150000,23,30
1332301300000,23,30
1332301320000,23,30
1332301330000,23,30
1332301370000,23,30
1332302240000,23,30
1332302250000,23,30
1332302260000,23,30
1332302270000,23,30
1332302590000,23,30
1332303060000,23,30
1332303690000,23,30
1332303700000,23,30
1332303710000,23,30
1332304240000,23,30
1332304520000,23,30
1122401100000,24,11
1122401310000,24,11
1122406000000,24,11
1122415070000,24,11
1332401410000,24,13
1332403750000,24,14
1122401090000,24,15
1111101010000,25,14
1122516520000,25,14
1122502090000,25,15
1332503550000,25,15
1332603200000,26,04
1332605280000,26,04
1112601470000,26,05
1112602850000,26,05
1122601730000,26,05
1122603690000,26,05
1122603700000,26,05
1122603820000,26,05
1332601290000,26,05
1332601530000,26,05
1332603320000,26,05
1123100140000,31,11
1123104020000,31,11
1123104030000,31,11
1123117090000,31,11
1123117100000,31,11
1123120350000,31,11
1123120900000,31,11
1333100030000,31,11
1333101150000,31,11
1333104780000,31,11
1113702830000,31,12
1113103190200,31,12
1123108740000,31,12
1123111280000,31,12
1123111290000,31,12
1123111300000,31,12
1123111310000,31,12
1123111320000,31,12
1123111350000,31,12
1123111360000,31,12
1123511970000,31,12
